TID, Nice, Tick
4, 20, 194
5, 10, 194
4, 20, 194
6, 1, 197
5, 10, 199
4, 20, 202
6, 1, 205
5, 10, 208
10, 10, 209
10, 10, 210
10, 10, 211
10, 10, 212
10, 10, 213
10, 10, 214
10, 10, 215
10, 10, 216
10, 10, 217
10, 10, 218
10, 10, 219
10, 10, 220
10, 10, 221
10, 10, 222
10, 10, 223
10, 10, 224
10, 10, 225
10, 10, 226
10, 10, 227
10, 10, 228
10, 10, 228
10, 10, 229
10, 10, 230
10, 10, 231
10, 10, 232
10, 10, 233
10, 10, 234
10, 10, 235
10, 10, 236
10, 10, 237
10, 10, 238
10, 10, 239
10, 10, 240
10, 10, 241
10, 10, 242
10, 10, 243
10, 10, 244
10, 10, 245
10, 10, 246
10, 10, 247
10, 10, 248
10, 10, 249
10, 10, 250
10, 10, 251
10, 10, 252
10, 10, 253
10, 10, 254
10, 10, 254
10, 10, 255
10, 10, 256
10, 10, 257
5, 10, 258
7, -20, 259
7, -20, 260
11, -20, 261
11, -20, 262
11, -20, 263
11, -20, 264
11, -20, 265
11, -20, 266
11, -20, 267
11, -20, 268
11, -20, 269
11, -20, 270
11, -20, 271
11, -20, 272
11, -20, 273
11, -20, 274
11, -20, 275
11, -20, 276
11, -20, 277
11, -20, 277
11, -20, 278
11, -20, 279
11, -20, 280
11, -20, 281
11, -20, 282
11, -20, 283
11, -20, 284
11, -20, 285
11, -20, 286
11, -20, 287
11, -20, 288
11, -20, 289
11, -20, 290
11, -20, 291
11, -20, 292
11, -20, 293
11, -20, 294
11, -20, 295
11, -20, 296
11, -20, 297
11, -20, 298
11, -20, 299
11, -20, 299
11, -20, 300
11, -20, 301
11, -20, 302
11, -20, 303
11, -20, 304
11, -20, 305
11, -20, 306
11, -20, 307
11, -20, 308
7, -20, 309
4, 20, 310
4, 20, 311
4, 20, 312
12, 20, 313
12, 20, 314
12, 20, 315
12, 20, 316
12, 20, 317
12, 20, 318
12, 20, 319
12, 20, 320
12, 20, 321
12, 20, 322
12, 20, 322
12, 20, 323
12, 20, 324
12, 20, 325
12, 20, 326
12, 20, 327
12, 20, 328
12, 20, 329
12, 20, 330
12, 20, 331
12, 20, 332
12, 20, 333
12, 20, 334
12, 20, 335
12, 20, 336
12, 20, 337
12, 20, 338
12, 20, 339
12, 20, 340
12, 20, 341
12, 20, 342
12, 20, 343
12, 20, 344
12, 20, 344
12, 20, 345
12, 20, 346
12, 20, 347
12, 20, 348
12, 20, 349
12, 20, 350
12, 20, 351
12, 20, 352
12, 20, 353
12, 20, 354
12, 20, 355
12, 20, 356
12, 20, 357
12, 20, 358
12, 20, 359
12, 20, 360
4, 20, 361
8, -10, 362
8, -10, 363
13, -10, 364
13, -10, 365
13, -10, 366
13, -10, 367
13, -10, 367
13, -10, 368
13, -10, 369
13, -10, 370
13, -10, 371
13, -10, 372
13, -10, 373
13, -10, 374
13, -10, 375
13, -10, 376
13, -10, 377
13, -10, 378
13, -10, 379
13, -10, 380
13, -10, 381
13, -10, 382
13, -10, 383
13, -10, 384
13, -10, 385
13, -10, 386
13, -10, 387
13, -10, 388
13, -10, 388
13, -10, 389
13, -10, 390
13, -10, 391
13, -10, 392
13, -10, 393
13, -10, 394
13, -10, 395
13, -10, 396
13, -10, 397
13, -10, 398
13, -10, 399
13, -10, 400
13, -10, 401
13, -10, 402
13, -10, 403
13, -10, 404
13, -10, 405
13, -10, 406
13, -10, 407
13, -10, 408
13, -10, 409
13, -10, 410
13, -10, 410
8, -10, 411
6, 1, 412
6, 1, 413
14, 1, 414
14, 1, 415
14, 1, 416
14, 1, 417
14, 1, 418
14, 1, 419
14, 1, 420
14, 1, 421
14, 1, 422
14, 1, 423
14, 1, 424
14, 1, 425
14, 1, 426
14, 1, 427
14, 1, 428
14, 1, 429
14, 1, 430
14, 1, 431
14, 1, 432
14, 1, 432
14, 1, 433
14, 1, 434
14, 1, 435
14, 1, 436
14, 1, 437
14, 1, 438
14, 1, 439
14, 1, 440
14, 1, 441
14, 1, 442
14, 1, 443
14, 1, 444
14, 1, 445
14, 1, 446
14, 1, 447
14, 1, 448
14, 1, 449
14, 1, 450
14, 1, 451
14, 1, 452
14, 1, 452
14, 1, 453
14, 1, 454
14, 1, 455
